0x80000000:jal    zero,0x00050     pc=0x800000a0,zero=0x80000004
0x80000134:addi   t1,t1,0x800   t1=0x00001000+0xfffff800=0x00000800
0x80000138:or     t0,t0,t1     t0=0x00000000|0x00000800=0x00000800
0x8000013c:csrrw  zero,mie,t0     zero=mie=0x00000000,mie=t0=0x00000800
0x80000140:csrrs  t0,mstatus,zero      t0=mstatus=0x00000000,mstatus|=zero=0x00000000|0x00000000=0x00000000
0x80000144:ori    t0,t0,0x008   t0=0x00000000|0x00000008=0x00000008
0x80000148:csrrw  zero,mstatus,t0     zero=mstatus=0x00000000,mstatus=t0=0x00000008
0x8000014c:jalr   zero,ra,0x000   pc=0x80000190+0x00000000,zero=0x80000150
0x80000190:jal    ra,0xfffbc     pc=0x80000108,ra=0x80000194
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
0x80000108:lb     t0,0x000(a5)  t0=mem[0x800001a4]=0x00000031
0x8000010c:beq    t0,zero,0x006  (0x00000031==0x00000000)=0->pc=0x80000110
0x80000110:sb     t0,0x000(a0)  mem[0x10000000]=0x31
0x80000114:jal    zero,0xffffa     pc=0x80000108,zero=0x80000118
