#cache_mem:irm    0x80000000          line=0,valid={0,0},age={0,0},id={0x000000,0x000000}
0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
#cache_mem:irh    0x80000228          line=2,age=0,id=0x1000004,block[1]={0x01020213,0xa0a0a537,0x0a050513,0xa1a1a5b7}
0x80000228:addi   a0,a0,0x0a0         a0=0xa0a0a000+0x000000a0=0xa0a0a0a0
#cache_mem:irh    0x8000022c          line=2,age=0,id=0x1000004,block[1]={0x01020213,0xa0a0a537,0x0a050513,0xa1a1a5b7}
0x8000022c:lui    a1,0xa1a1a          a1=0xa1a1a000
#cache_mem:irm    0x80000230          line=3,valid={0,0},age={0,0},id={0x000000,0x000000}
0x80000230:addi   a1,a1,0x1a1         a1=0xa1a1a000+0x000001a1=0xa1a1a1a1
#cache_mem:irh    0x80000234          line=3,age=0,id=0x1000004,block[0]={0x1a158593,0xa2a2a637,0x2a260613,0xa3a3a6b7}
0x80000234:lui    a2,0xa2a2a          a2=0xa2a2a000
#cache_mem:irh    0x80000238          line=3,age=0,id=0x1000004,block[0]={0x1a158593,0xa2a2a637,0x2a260613,0xa3a3a6b7}
0x80000238:addi   a2,a2,0x2a2         a2=0xa2a2a000+0x000002a2=0xa2a2a2a2
#cache_mem:irh    0x8000023c          line=3,age=0,id=0x1000004,block[0]={0x1a158593,0xa2a2a637,0x2a260613,0xa3a3a6b7}
0x8000023c:lui    a3,0xa3a3a          a3=0xa3a3a000
#cache_mem:irm    0x80000240          line=4,valid={1,0},age={19,0},id={0x1000000,0x000000}
0x80000240:addi   a3,a3,0x3a3         a3=0xa3a3a000+0x000003a3=0xa3a3a3a3
#cache_mem:irh    0x80000244          line=4,age=0,id=0x1000004,block[1]={0x3a368693,0xa4a4a737,0x4a470713,0xa5a5a7b7}
0x80000244:lui    a4,0xa4a4a          a4=0xa4a4a000
#cache_mem:irh    0x80000248          line=4,age=0,id=0x1000004,block[1]={0x3a368693,0xa4a4a737,0x4a470713,0xa5a5a7b7}
0x80000248:addi   a4,a4,0x4a4         a4=0xa4a4a000+0x000004a4=0xa4a4a4a4
#cache_mem:irh    0x8000024c          line=4,age=0,id=0x1000004,block[1]={0x3a368693,0xa4a4a737,0x4a470713,0xa5a5a7b7}
0x8000024c:lui    a5,0xa5a5a          a5=0xa5a5a000
#cache_mem:irm    0x80000250          line=5,valid={1,1},age={19,17},id={0x1000000,0x1000013}
0x80000250:addi   a5,a5,0x5a5         a5=0xa5a5a000+0x000005a5=0xa5a5a5a5
#cache_mem:irh    0x80000254          line=5,age=0,id=0x1000004,block[0]={0x5a578793,0xa6a6a837,0x6a680813,0xa7a7a8b7}
0x80000254:lui    a6,0xa6a6a          a6=0xa6a6a000
#cache_mem:irh    0x80000258          line=5,age=0,id=0x1000004,block[0]={0x5a578793,0xa6a6a837,0x6a680813,0xa7a7a8b7}
0x80000258:addi   a6,a6,0x6a6         a6=0xa6a6a000+0x000006a6=0xa6a6a6a6
#cache_mem:irh    0x8000025c          line=5,age=0,id=0x1000004,block[0]={0x5a578793,0xa6a6a837,0x6a680813,0xa7a7a8b7}
0x8000025c:lui    a7,0xa7a7a          a7=0xa7a7a000
#cache_mem:irm    0x80000260          line=6,valid={1,0},age={18,0},id={0x1000013,0x000000}
0x80000260:addi   a7,a7,0x7a7         a7=0xa7a7a000+0x000007a7=0xa7a7a7a7
#cache_mem:irh    0x80000264          line=6,age=0,id=0x1000004,block[1]={0x7a788893,0x202022b7,0x02028293,0x21212337}
0x80000264:lui    t0,0x20202          t0=0x20202000
#cache_mem:irh    0x80000268          line=6,age=0,id=0x1000004,block[1]={0x7a788893,0x202022b7,0x02028293,0x21212337}
0x80000268:addi   t0,t0,0x020         t0=0x20202000+0x00000020=0x20202020
#cache_mem:irh    0x8000026c          line=6,age=0,id=0x1000004,block[1]={0x7a788893,0x202022b7,0x02028293,0x21212337}
0x8000026c:lui    t1,0x21212          t1=0x21212000
#cache_mem:irm    0x80000270          line=7,valid={0,0},age={0,0},id={0x000000,0x000000}
0x80000270:addi   t1,t1,0x121         t1=0x21212000+0x00000121=0x21212121
#cache_mem:irh    0x80000274          line=7,age=0,id=0x1000004,block[0]={0x12130313,0x222223b7,0x22238393,0x23232e37}
0x80000274:lui    t2,0x22222          t2=0x22222000
#cache_mem:irh    0x80000278          line=7,age=0,id=0x1000004,block[0]={0x12130313,0x222223b7,0x22238393,0x23232e37}
0x80000278:addi   t2,t2,0x222         t2=0x22222000+0x00000222=0x22222222
#cache_mem:irh    0x8000027c          line=7,age=0,id=0x1000004,block[0]={0x12130313,0x222223b7,0x22238393,0x23232e37}
0x8000027c:lui    t3,0x23232          t3=0x23232000
#cache_mem:irm    0x80000280          line=0,valid={1,0},age={42,0},id={0x1000000,0x000000}
0x80000280:addi   t3,t3,0x323         t3=0x23232000+0x00000323=0x23232323
#cache_mem:irh    0x80000284          line=0,age=0,id=0x1000005,block[1]={0x323e0e13,0x24242eb7,0x424e8e93,0x25252f37}
0x80000284:lui    t4,0x24242          t4=0x24242000
#cache_mem:irh    0x80000288          line=0,age=0,id=0x1000005,block[1]={0x323e0e13,0x24242eb7,0x424e8e93,0x25252f37}
0x80000288:addi   t4,t4,0x424         t4=0x24242000+0x00000424=0x24242424
#cache_mem:irh    0x8000028c          line=0,age=0,id=0x1000005,block[1]={0x323e0e13,0x24242eb7,0x424e8e93,0x25252f37}
0x8000028c:lui    t5,0x25252          t5=0x25252000
#cache_mem:irm    0x80000290          line=1,valid={1,0},age={29,0},id={0x1000004,0x000000}
0x80000290:addi   t5,t5,0x525         t5=0x25252000+0x00000525=0x25252525
#cache_mem:irh    0x80000294          line=1,age=0,id=0x1000005,block[1]={0x525f0f13,0x26262fb7,0x626f8f93,0x44444437}
0x80000294:lui    t6,0x26262          t6=0x26262000
#cache_mem:irh    0x80000298          line=1,age=0,id=0x1000005,block[1]={0x525f0f13,0x26262fb7,0x626f8f93,0x44444437}
0x80000298:addi   t6,t6,0x626         t6=0x26262000+0x00000626=0x26262626
#cache_mem:irh    0x8000029c          line=1,age=0,id=0x1000005,block[1]={0x525f0f13,0x26262fb7,0x626f8f93,0x44444437}
0x8000029c:lui    s0,0x44444          s0=0x44444000
#cache_mem:irm    0x800002a0          line=2,valid={1,1},age={38,29},id={0x1000001,0x1000004}
0x800002a0:addi   s0,s0,0x444         s0=0x44444000+0x00000444=0x44444444
#cache_mem:irh    0x800002a4          line=2,age=0,id=0x1000005,block[0]={0x44440413,0x555554b7,0x55548493,0x66666937}
0x800002a4:lui    s1,0x55555          s1=0x55555000
#cache_mem:irh    0x800002a8          line=2,age=0,id=0x1000005,block[0]={0x44440413,0x555554b7,0x55548493,0x66666937}
0x800002a8:addi   s1,s1,0x555         s1=0x55555000+0x00000555=0x55555555
#cache_mem:irh    0x800002ac          line=2,age=0,id=0x1000005,block[0]={0x44440413,0x555554b7,0x55548493,0x66666937}
0x800002ac:lui    s2,0x66666          s2=0x66666000
#cache_mem:irm    0x800002b0          line=3,valid={1,0},age={29,0},id={0x1000004,0x000000}
0x800002b0:addi   s2,s2,0x666         s2=0x66666000+0x00000666=0x66666666
#cache_mem:irh    0x800002b4          line=3,age=0,id=0x1000005,block[1]={0x66690913,0x777779b7,0x77798993,0x88889a37}
0x800002b4:lui    s3,0x77777          s3=0x77777000
#cache_mem:irh    0x800002b8          line=3,age=0,id=0x1000005,block[1]={0x66690913,0x777779b7,0x77798993,0x88889a37}
0x800002b8:addi   s3,s3,0x777         s3=0x77777000+0x00000777=0x77777777
#cache_mem:irh    0x800002bc          line=3,age=0,id=0x1000005,block[1]={0x66690913,0x777779b7,0x77798993,0x88889a37}
0x800002bc:lui    s4,0x88889          s4=0x88889000
#cache_mem:irm    0x800002c0          line=4,valid={1,1},age={51,29},id={0x1000000,0x1000004}
0x800002c0:addi   s4,s4,0x888         s4=0x88889000+0xfffff888=0x88888888
#cache_mem:irh    0x800002c4          line=4,age=0,id=0x1000005,block[0]={0x888a0a13,0x9999aab7,0x999a8a93,0xaaaabb37}
0x800002c4:lui    s5,0x9999a          s5=0x9999a000
#cache_mem:irh    0x800002c8          line=4,age=0,id=0x1000005,block[0]={0x888a0a13,0x9999aab7,0x999a8a93,0xaaaabb37}
0x800002c8:addi   s5,s5,0x999         s5=0x9999a000+0xfffff999=0x99999999
#cache_mem:irh    0x800002cc          line=4,age=0,id=0x1000005,block[0]={0x888a0a13,0x9999aab7,0x999a8a93,0xaaaabb37}
0x800002cc:lui    s6,0xaaaab          s6=0xaaaab000
#cache_mem:irm    0x800002d0          line=5,valid={1,1},age={29,49},id={0x1000004,0x1000013}
0x800002d0:addi   s6,s6,0xaaa         s6=0xaaaab000+0xfffffaaa=0xaaaaaaaa
#cache_mem:irh    0x800002d4          line=5,age=0,id=0x1000005,block[1]={0xaaab0b13,0xbbbbcbb7,0xbbbb8b93,0xccccdc37}
0x800002d4:lui    s7,0xbbbbc          s7=0xbbbbc000
#cache_mem:irh    0x800002d8          line=5,age=0,id=0x1000005,block[1]={0xaaab0b13,0xbbbbcbb7,0xbbbb8b93,0xccccdc37}
0x800002d8:addi   s7,s7,0xbbb         s7=0xbbbbc000+0xfffffbbb=0xbbbbbbbb
#cache_mem:irh    0x800002dc          line=5,age=0,id=0x1000005,block[1]={0xaaab0b13,0xbbbbcbb7,0xbbbb8b93,0xccccdc37}
0x800002dc:lui    s8,0xccccd          s8=0xccccd000
#cache_mem:irm    0x800002e0          line=6,valid={1,1},age={50,29},id={0x1000013,0x1000004}
0x800002e0:addi   s8,s8,0xccc         s8=0xccccd000+0xfffffccc=0xcccccccc
#cache_mem:irh    0x800002e4          line=6,age=0,id=0x1000005,block[0]={0xcccc0c13,0xddddecb7,0xdddc8c93,0xeeeefd37}
0x800002e4:lui    s9,0xdddde          s9=0xdddde000
#cache_mem:irh    0x800002e8          line=6,age=0,id=0x1000005,block[0]={0xcccc0c13,0xddddecb7,0xdddc8c93,0xeeeefd37}
0x800002e8:addi   s9,s9,0xddd         s9=0xdddde000+0xfffffddd=0xdddddddd
#cache_mem:irh    0x800002ec          line=6,age=0,id=0x1000005,block[0]={0xcccc0c13,0xddddecb7,0xdddc8c93,0xeeeefd37}
0x800002ec:lui    s10,0xeeeef         s10=0xeeeef000
#cache_mem:irm    0x800002f0          line=7,valid={1,0},age={29,0},id={0x1000004,0x000000}
0x800002f0:addi   s10,s10,0xeee       s10=0xeeeef000+0xfffffeee=0xeeeeeeee
#cache_mem:irh    0x800002f4          line=7,age=0,id=0x1000005,block[1]={0xeeed0d13,0xfff00d93,0x00008067,0x00110063}
0x800002f4:addi   s11,zero,0xfff      s11=0x00000000+0xffffffff=0xffffffff
#cache_mem:irh    0x800002f8          line=7,age=0,id=0x1000005,block[1]={0xeeed0d13,0xfff00d93,0x00008067,0x00110063}
0x800002f8:jalr   zero,ra,0x000       pc=0x800009ec+0x00000000,zero=0x800002fc
#cache_mem:irm    0x800009ec          line=6,valid={1,1},age={4,36},id={0x1000005,0x1000004}
0x800009ec:jal    ra,0xffc88          pc=0x800002fc,ra=0x800009f0
#cache_mem:irh    0x800002fc          line=7,age=0,id=0x1000005,block[1]={0xeeed0d13,0xfff00d93,0x00008067,0x00110063}
0x800002fc:beq    sp,ra,0x000         (0x80007ff0==0x800009f0)=0->pc=0x80000300
#cache_mem:irm    0x80000300          line=0,valid={1,1},age={75,30},id={0x1000000,0x1000005}
